ParsedDate,States,Actual,Predicted,Residual,Absolute_Error
2020-03-01,Telangana,201.0,160.33739,40.66261291503906,40.66261291503906
2020-03-02,Telangana,209.3,202.71028,6.589718627929699,6.589718627929699
2020-03-03,Telangana,209.4,207.0118,2.388204956054693,2.388204956054693
2020-03-04,Telangana,212.1,207.17146,4.928536987304682,4.928536987304682
2020-03-05,Telangana,210.3,210.74643,-0.44642944335936363,0.44642944335936363
2020-03-13,Telangana,212.3,202.09215,10.207852172851574,10.207852172851574
2020-03-14,Telangana,210.1,204.62909,5.470910644531244,5.470910644531244
2020-03-15,Telangana,152.5,207.61787,-55.11787414550781,55.11787414550781
2020-03-16,Telangana,150.4,154.30138,-3.901376342773432,3.901376342773432
2020-03-17,Telangana,147.3,151.65279,-4.352786254882801,4.352786254882801
2020-03-18,Telangana,155.9,151.57527,4.324728393554693,4.324728393554693
2020-03-19,Telangana,164.2,153.9055,10.294497680664051,10.294497680664051
2020-03-20,Telangana,166.6,161.08955,5.510446166992182,5.510446166992182
2020-03-21,Telangana,163.8,164.61935,-0.8193542480468636,0.8193542480468636
2020-03-22,Telangana,188.2,167.13876,21.061236572265614,21.061236572265614
2020-03-23,Telangana,179.5,186.8477,-7.3477020263671875,7.3477020263671875
2020-03-24,Telangana,164.2,178.25043,-14.050427246093761,14.050427246093761
2020-03-25,Telangana,165.4,164.38089,1.0191101074218807,1.0191101074218807
2020-03-26,Telangana,167.8,167.70656,0.09344177246094887,0.09344177246094887
2020-03-27,Telangana,165.5,170.47083,-4.9708251953125,4.9708251953125
2020-03-28,Telangana,168.9,175.76508,-6.865075683593744,6.865075683593744
2020-03-29,Telangana,156.4,180.59225,-24.19225463867187,24.19225463867187
2020-03-30,Telangana,159.5,160.5243,-1.0243072509765625,1.0243072509765625
2020-03-31,Telangana,162.4,166.07352,-3.6735168457031193,3.6735168457031193
2020-04-01,Telangana,159.2,170.94597,-11.745968627929699,11.745968627929699
2020-04-02,Telangana,161.8,166.80861,-5.008609008789051,5.008609008789051
2020-04-03,Telangana,157.3,168.6453,-11.345294189453114,11.345294189453114
2020-04-04,Telangana,155.8,166.89258,-11.092578124999989,11.092578124999989
2020-04-05,Telangana,220.9,163.1478,57.75220336914063,57.75220336914063
2020-04-13,Telangana,225.7,222.24402,3.4559814453124886,3.4559814453124886
2020-04-14,Telangana,218.5,222.81229,-4.312286376953125,4.312286376953125
2020-04-15,Telangana,218.7,212.98608,5.713916015624989,5.713916015624989
2020-04-16,Telangana,223.4,214.79561,8.604391479492193,8.604391479492193
2020-04-17,Telangana,215.9,221.35982,-5.459817504882807,5.459817504882807
2020-04-18,Telangana,220.5,213.45493,7.045074462890625,7.045074462890625
2020-04-19,Telangana,174.0,219.56046,-45.560455322265625,45.560455322265625
2020-04-20,Telangana,180.0,173.18912,6.810882568359375,6.810882568359375
2020-04-21,Telangana,183.6,180.34709,3.252908325195307,3.252908325195307
2020-04-22,Telangana,187.4,183.52563,3.8743652343750057,3.8743652343750057
2020-04-23,Telangana,188.7,187.83363,0.8663665771484261,0.8663665771484261
2020-04-24,Telangana,185.4,187.40411,-2.0041137695312443,2.0041137695312443
2020-04-25,Telangana,182.5,186.55746,-4.057464599609375,4.057464599609375
2020-04-26,Telangana,154.4,187.9441,-33.54410705566406,33.54410705566406
2020-04-27,Telangana,154.8,163.3962,-8.596194458007801,8.596194458007801
2020-04-28,Telangana,168.2,157.97986,10.220141601562489,10.220141601562489
